"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","LLM Testing","0","Adversarial Inputs","1","0","Direct Injection","0"
"0","LLM Testing","0","Adversarial Inputs","1","0","Payload Splitting","0"
"0","LLM Testing","0","Multi-Run Harness","1","0","Numeric Range (1–100)","0"
"0","LLM Testing","0","Multi-Run Harness","1","0","Structured Output (JSON)","0"
"0","LLM Testing","0","Multi-Run Harness","1","0","Single-Word Output (Fruit)","0"
"0","LLM Testing","0","Property-Based Assertions","1","0","Numeric Range (1–100)","0"
"0","LLM Testing","0","Adversarial Inputs","1","0","Empty Input","0"
"0","LLM Testing","0","Multi-Run Harness","1","0","Single-Word Output (Color)","0"
"0","LLM Testing","1","Adversarial Inputs","0","0","Role Confusion","0"
"0","LLM Testing","0","Property-Based Assertions","1","0","Multi-Line Output (Poem)","0"
"0","LLM Testing","0","Property-Based Assertions","1","0","Single-Word Output (Fruit)","0"
"0","LLM Testing","0","Property-Based Assertions","1","0","Single-Word Output (Color)","0"
"0","LLM Testing","0","Property-Based Assertions","1","0","Structured Output (JSON)","0"
"0","LLM Testing","0","Multi-Run Harness","1","0","Multi-Line Output (Poem)","0"
"0","LLM Testing","1","Adversarial Inputs","0","0","Indirect Injection","0"
